StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5824,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.21,0.00
5825,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,7.40,0.00
5828,0.74,0.00,0.00,0.45,0.31,0.00,0.00,0.00,0.00,0.00,0.53,0.00,-10.14,13.18,0.22
5829,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5832,0.20,4.08,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5833,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,10.78,0.00
5836,0.00,0.00,0.00,0.20,0.98,0.00,0.20,0.45,0.00,0.00,18.94,0.00,0.00,0.00,0.00
5837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.62,0.00
5856,0.20,0.22,0.20,0.20,0.20,0.00,0.20,0.20,0.00,0.51,0.00,0.00,0.00,0.00,0.20
5857,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.58,0.00,0.00,0.00,0.00
5861,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
5864,0.00,0.00,0.20,0.20,0.20,0.00,0.20,0.20,0.00,0.00,0.86,0.00,0.00,0.00,0.00
5865,0.54,0.29,0.00,0.00,0.00,0.00,0.00,3.90,0.00,0.23,0.20,1.47,0.00,18.53,1.90
5868,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.00,0.00,0.00,0.20
5869,0.00,0.00,0.00,0.20,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
6016,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6017,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.20,0.53,0.00,0.00,1.14,0.00,0.00,0.00
6018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,-10.14,0.00,0.00
6019,0.00,0.00,0.20,0.20,0.00,0.82,0.22,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00
6020,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00
6021,0.00,0.69,0.58,0.00,0.38,2.00,0.24,0.00,0.60,0.54,1.55,1.47,-18.28,0.48,0.00
6022,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6023,0.20,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,-10.01,0.00,0.00
6024,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.78,0.00
6025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00
6026,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,10.59,0.00,0.00,0.00,0.20
6027,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.82,0.00,0.00,0.00
6048,0.00,0.00,0.97,0.00,0.37,0.20,0.00,0.00,0.00,0.00,0.00,10.10,0.00,0.79,0.00
