StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5396,0.00,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5397,-0.05,41.16,0.00,0.00,-3.77,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00
5398,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.55,19.10,-0.56
5399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5410,0.00,47.09,0.00,-0.55,0.00,0.00,-0.05,0.00,1.76,-0.05,0.00,-0.55,0.00,-0.55,-0.30
5414,0.00,0.00,0.00,0.36,0.00,0.00,-0.05,57.24,0.00,0.00,0.00,-0.55,0.00,0.00,-0.30
5424,-0.05,10.05,0.00,0.00,0.00,-0.55,-0.05,-0.05,-0.05,0.00,0.00,-0.55,-0.55,0.00,0.00
5428,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.05,0.00,0.00,0.00,19.10,-0.30
5429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.88,0.00,0.00,0.00,0.00,0.00,0.00
5442,-0.05,0.00,0.00,0.00,-0.55,10.05,-3.36,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,-0.30
5446,0.00,0.00,0.00,-0.55,0.00,27.24,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5456,-0.05,19.10,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,-0.55,0.00,-0.30
5457,0.00,19.10,0.00,0.00,0.00,0.00,-0.05,0.00,-0.05,0.00,0.00,-0.55,-0.55,0.00,0.00
5461,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00
